true_pos,obs_pos,true_var
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,33,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,3,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,16,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,19,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,26,10
15,2,10
15,2,10
15,2,10
15,2,10
15,2,10
15,2,10
15,2,10
15,2,10
15,2,10
15,2,10
15,2,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,5,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
15,9,10
355,357,10
355,357,10
355,357,10
355,357,10
355,357,10
355,357,10
355,357,10
355,357,10
