true_pos,obs_pos,true_var
313,295,10
313,295,10
313,295,10
313,295,10
313,295,10
313,295,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,306,10
313,306,10
313,306,10
313,306,10
313,306,10
313,306,10
313,306,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,313,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,331,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,308,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,317,10
313,317,10
313,317,10
313,317,10
313,317,10
313,317,10
313,317,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,312,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,309,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
313,319,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,279,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,283,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,277,10
283,291,10
283,291,10
283,291,10
283,291,10
283,291,10
283,291,10
283,291,10
283,291,10
283,294,10
283,294,10
283,294,10
283,294,10
283,294,10
283,294,10
283,294,10
283,294,10
283,294,10
283,294,10
283,294,10
283,294,10
283,286,10
283,286,10
283,286,10
283,286,10
283,286,10
283,286,10
283,286,10
283,286,10
283,286,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,293,10
283,287,10
283,287,10
283,287,10
283,287,10
283,287,10
283,287,10
283,287,10
283,287,10
283,287,10
283,287,10
283,282,10
283,282,10
283,282,10
283,282,10
283,282,10
283,282,10
283,282,10
283,282,10
283,297,10
283,297,10
283,297,10
283,297,10
283,297,10
