true_pos,obs_pos,true_var
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,284,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,292,20
267,291,20
267,291,20
267,291,20
267,291,20
267,291,20
267,291,20
267,291,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,277,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,278,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,269,20
267,276,20
267,276,20
267,276,20
267,276,20
267,276,20
267,276,20
267,276,20
267,276,20
267,276,20
267,276,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
267,268,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,283,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,272,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,317,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,279,20
287,290,20
287,290,20
287,290,20
287,290,20
287,290,20
287,290,20
287,290,20
287,290,20
287,290,20
287,290,20
287,275,20
287,275,20
287,275,20
287,275,20
287,275,20
287,275,20
287,275,20
287,275,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,254,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,261,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,281,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,267,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,312,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
287,256,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,234,20
247,244,20
247,244,20
247,244,20
247,244,20
247,244,20
247,244,20
247,244,20
247,244,20
247,244,20
247,244,20
247,244,20
247,244,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
247,270,20
